ID,Famille,Catégorie,Nom français,Nom court,Type,Numéro,rue,Étage,Bureau,Ville,Code postal,Arrondissement,Classification,Longitude,Latitude
3090,Service public,Établissement scolaire,École Barthélemy-Vimont Annexe,,École primaire,630,Rue Saint-Roch,0, ,Montréal,H3N 1K8,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.62927246,45.52918243
3091,Service public,Établissement scolaire,École Bienville,,École primaire,9275,25e Avenue,0, ,Montréal,H1Z 4E2,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.62258082,45.58332301
3092,Service public,Établissement scolaire,École Camille-Laurin,,École primaire,8000,Avenue de l’Épée,0, ,Montréal,H3N 2E9,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.63416221,45.53074136
3093,Service public,Établissement scolaire,École Camille-Laurin (pavillon d'Outremont),École Camille-Laurin (Outremont),École primaire,7700,Avenue d’Outremont,0, ,Montréal,H3N 2L9,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.63082109,45.52776755
3094,Service public,Établissement scolaire,École Gadbois,,École primaire,8305,Rue Saint-André,0, ,Montréal,H2P 1Y7,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.62866974,45.54800156
3095,Service public,Établissement scolaire,École Hélène-Boullé,,École primaire,8050,Rue de Gaspé,0, ,Montréal,H2R 2A7,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.62947082,45.5402832
3096,Service public,Établissement scolaire,École Henri-Julien,,École secondaire et professionnelle,8150,Rue Rousselot,0, ,Montréal,H2E 1Z6,Villeray–Saint-Michel–Parc-Extension,niveau 3,-73.62189862,45.55098059
3097,Service public,Établissement scolaire,Centre John-F.-Kennedy Adult Education Center,,École primaire,3030,Rue Villeray,0, ,Montréal,H2A 1E7,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.60402855,45.56028953
3098,Service public,Établissement scolaire,École Léonard-De Vinci,,École primaire,7630,22e Avenue,0, ,Montréal,H2A 2H9,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.59882498,45.56864476
3099,Service public,Établissement scolaire,École Léonard-De Vinci (2e et 3e cycles),,École primaire,7575,19e Avenue,0, ,Montréal,H2A 2M2,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.59897191,45.5672406
3100,Service public,Établissement scolaire,École Marie-Favery,,École primaire,7750,Avenue Christophe-Colomb,0, ,Montréal,H2R 2S9,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.62049103,45.54591751
3101,Service public,Établissement scolaire,École Marie-Rivier,,École primaire,9200,8e Avenue,0, ,Montréal,H1Z 2Y5,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.6313781,45.57083487
3102,Service public,Établissement scolaire,École Marie-Rivier (pavillon Legendre),École Marie-Rivier (Legendre),École primaire,9066,8e Avenue,0, ,Montréal,H1Z 2Y5,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.6293869,45.57003403
3103,Service public,Établissement scolaire,École Montcalm,,École primaire,8800,12e Avenue,0, ,Montréal,H1Z 3J3,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.62271832,45.57006526
3104,Service public,Établissement scolaire,École nationale de cirque,,École secondaire et professionnelle,8181,2e Avenue,0, ,Montréal,H1Z 4N9,Villeray–Saint-Michel–Parc-Extension,niveau 3,-73.6136322,45.56169891
3105,Service public,Établissement scolaire,"École Saint-Barthélemy, pavillon des Érables",,École primaire,7081,Avenue des Érables,0, ,Montréal,H2E 2R1,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.60276794,45.55022049
3106,Service public,Établissement scolaire,"École Saint-Barthélemy, pavillon Sagard",,École primaire,7400,Rue Sagard,0, ,Montréal,H2E 2S9,Villeray–Saint-Michel–Parc-Extension,niveau 4,-73.60757075,45.5526429
